"host_since","host_response_time","host_is_superhost","host_listings_count","host_has_profile_pic","host_identity_verified","bathrooms_text","accommodates","minimum_nights","availability_365","review_scores_rating","instant_bookable","reviews_per_month","room_typeEntire home/apt","room_typeHotel room","room_typePrivate room","room_typeShared room","neighbourhood_group_cleansedBronx","neighbourhood_group_cleansedBrooklyn","neighbourhood_group_cleansedManhattan","neighbourhood_group_cleansedQueens","neighbourhood_group_cleansedStaten Island","price_log"
4479,3,1,2,1,1,1,2,30,91,4.83,0,0.36,1,0,0,0,0,0,1,0,0,5.29831736654804
4479,0,0,2,1,1,1,4,1,0,4.98,0,0.37,1,0,0,0,0,1,0,0,0,5.43372200355424
4476,4,0,2,1,1,1,2,30,186,4.46,0,0.28,1,0,0,0,1,0,0,0,0,4.49980967033027
4474,0,0,1,1,1,1,2,30,0,4.51,0,0.28,1,0,0,0,0,0,1,0,0,4.70048036579242
4497,0,0,1,1,1,1,1,10,0,4.52,0,0.3,0,0,1,0,0,1,0,0,0,4.44265125649032
4506,1,0,2,1,1,1,3,30,309,4.03,0,0.28,1,0,0,0,0,0,1,0,0,4.38202663467388
4461,0,0,3,1,0,0,5,30,123,4.84,0,0.38,1,0,0,0,0,0,1,0,0,5.70044357339069
4580,4,1,1,1,1,1,3,7,258,4.67,0,1.76,1,0,0,0,0,0,0,1,0,4.77912349311153
4459,2,0,0,0,0,1,5,30,63,4.67,0,0.35,1,0,0,0,0,0,1,0,0,5.00394630594546
4459,0,0,1,1,0,1,3,30,0,4.67,0,0.02,1,0,0,0,0,1,0,0,0,4.31748811353631
4455,2,0,1,1,1,1,3,3,182,4.81,0,2.45,1,0,0,0,0,0,1,0,0,5.07517381523383
4447,3,0,3,1,1,1,2,28,338,5,0,0.02,0,0,1,0,0,1,0,0,0,4.60517018598809
4446,4,0,27,1,1,1,2,3,202,4.92,0,0.3,0,1,0,0,0,1,0,0,0,5.52146091786225
4437,4,0,1,1,1,1.5,2,2,98,4.33,0,1.48,0,0,1,0,0,0,1,0,0,4.00733318523247
4446,4,0,27,1,1,1,4,3,164,5,0,0.08,0,1,0,0,0,1,0,0,0,6.2709884318583
